,STATION,LATITUDE,LONGITUDE,COUNTS
573,US10hall014,40.7037,-98.7025,0
574,US10hall015,40.9291,-98.3518,0
575,US10hall016,40.9357,-98.3378,0
576,US10hall017,40.8215,-98.4201,0
577,US10hall018,40.7859,-98.6834,0
578,US10hall019,40.8883,-98.5447,0
579,US10hall020,40.8873,-98.7113,0
580,US10hall021,40.9435,-98.3695,0
581,US10hall026,40.9331,-98.3548,0
582,US10hall027,40.9514,-98.4135,0
583,US10hall035,40.898,-98.3619,0
584,US10hall039,40.9894,-98.5117,0
585,US10hall042,40.9436,-98.3706,0
586,US10hall043,40.7921,-98.6456,0
587,US10hall044,40.9982,-98.6025,0
588,US10hami001,41.0539,-97.8878,0
589,US10hami002,40.8863,-97.8748,0
590,US10hami003,40.8598,-97.8425,0
591,US10hami004,40.8583,-97.9881,0
592,US10hami005,40.878,-97.8801,0
593,US10hami006,41.0058,-97.9481,0
594,US10hami008,40.945,-98.1132,0
595,US10hami009,40.9592,-97.9823,0
596,US10hami011,40.7849,-98.169,0
597,US10hami012,41.0348,-97.8459,0
598,US10hami013,40.8944,-98.2171,0
599,US10hami015,40.7934,-98.0724,0
600,US10hami016,40.8728,-98.0833,0
601,US10hami017,40.9503,-97.9988,0
602,US10hami019,40.989,-97.9976,0
603,US10hami021,40.8724,-98.0108,0
604,US10harl001,40.1011,-99.366,0
605,US10harl002,40.1296,-99.3493,0
606,US10harl004,40.1765,-99.5579,0
607,US10harl007,40.1277,-99.4544,0
608,US10harl008,40.0983,-99.3626,0
609,US10harl009,40.1176,-99.2433,0
610,US10harl010,40.1273,-99.5572,0
611,US10harl012,40.3073,-99.3492,0
612,US10harl013,40.2408,-99.2552,0
613,US10harl014,40.129,-99.4512,0
614,US10haye001,40.4525,-100.9292,0
615,US10haye002,40.6826,-101.2432,0
616,US10haye003,40.5106,-101.0202,0
617,US10haye004,40.3999,-101.2766,0
618,US10haye005,40.6963,-101.1418,0
619,US10haye006,40.5296,-100.925,0
620,US10haye007,40.6107,-100.8519,0
621,US10haye008,40.3518,-101.0865,0
622,US10haye009,40.4232,-101.211,0
623,US10haye010,40.5537,-101.2957,0
624,US10haye011,40.5865,-101.074,0
625,US10haye012,40.3725,-101.0376,0
626,US10haye013,40.6565,-100.8098,0
627,US10hitc002,40.2121,-101.0503,0
628,US10hitc003,40.2357,-100.7952,0
629,US10hitc004,40.0882,-100.7859,0
630,US10hitc005,40.1828,-101.0122,0
631,US10hitc006,40.2728,-100.938,0
632,US10hitc007,40.2241,-101.2674,0
633,US10hitc008,40.1829,-101.088,0
634,US10hitc010,40.2618,-101.2313,0
635,US10hitc011,40.1402,-101.2014,0
636,US10hitc012,40.1894,-101.2458,0
637,US10hitc013,40.0802,-101.2408,0
638,US10hitc014,40.1906,-100.8906,0
639,US10hitc015,40.2336,-100.967,0
640,US10hitc016,40.1697,-101.0091,0
641,US10hitc017,40.296,-101.0147,0
642,US10hitc018,40.0195,-100.8266,0
643,US10hitc019,40.1796,-101.012,0
644,US10hitc020,40.3353,-101.1509,0
645,US10hitc022,40.2556,-101.277,0
646,US10hitc024,40.2336,-100.8971,0
647,US10hitc028,40.2336,-100.8003,0
648,US10holt001,42.4604,-98.6583,0
649,US10holt002,42.4727,-98.8074,0
650,US10holt003,42.1165,-98.3411,0
651,US10holt004,42.5362,-98.9771,0
652,US10holt006,42.4656,-98.6328,0
653,US10holt007,42.3867,-98.339,0
654,US10holt008,42.4366,-98.4988,0
655,US10holt009,42.3993,-98.4178,0
656,US10holt010,42.1911,-98.6634,0
